Video_name	Comment	Like_Count
Inside a Crypto-Mining Operation - Computerphile	Is CO2 exhaust a parameter for those profitability functions?	0
Inside a Crypto-Mining Operation - Computerphile	Loved to see your setup! But I have emphasize that all these are non-financially rewarding hobbies. The kick is not in the profits.	0
Inside a Crypto-Mining Operation - Computerphile	Suddenly all the Americans care about the planet and conservation :), nothing like an easy target to hate on while you ignore the real issues.	0
Inside a Crypto-Mining Operation - Computerphile	A truly criminal waste of energy. Why you give these bastards time is beyond me.	0
Inside a Crypto-Mining Operation - Computerphile	This is why the world needs NANO	0
Inside a Crypto-Mining Operation - Computerphile	Waste of power.	0
Inside a Crypto-Mining Operation - Computerphile	Why would you film the entire thing inside the mining room? I get the appeal, but that noise was unbearable.	0
Inside a Crypto-Mining Operation - Computerphile	Rob Morley, the Ed China of computing!	0
Inside a Crypto-Mining Operation - Computerphile	But can it run Crysis?	0
Inside a Crypto-Mining Operation - Computerphile	Pictured: Why you can't afford a gaming PC anymore.	0
Inside a Crypto-Mining Operation - Computerphile	People don't care about the environment at all. I'd vote to ban this kind of operation. But it seems responsible governments don't understand this kind of stuff yet to take proper actions.	0
Inside a Crypto-Mining Operation - Computerphile	I really hope the future of cryptocurrency moves to proof-of-stake rather than proof-of-work models. Just think of what all that energy and computer power could be used to accomplish rather than solving random useless problems.	0
Inside a Crypto-Mining Operation - Computerphile	I can't imagine how you'd do it. But it would be interesting to use the heat from this to fuel some kind of tropical garden or gardening in general.	0
Inside a Crypto-Mining Operation - Computerphile	what a bubble!!	0
Inside a Crypto-Mining Operation - Computerphile	Cool video. Now I want a mining rig	0
Inside a Crypto-Mining Operation - Computerphile	Have to say wasn't expecting people being so angry here. Like, this is a technology/computer channel...this is where content like this goes!	0
Inside a Crypto-Mining Operation - Computerphile	Each kind of "coin" has a limited amount in order to prevent inflation.

But there are an infinity of different coins...	0
Inside a Crypto-Mining Operation - Computerphile	What a waste of power and resources,  shameful greed!	0
Inside a Crypto-Mining Operation - Computerphile	please could you make a small bitcoin donation too? 🤔😔19xkyksXX1dBfmFWCqkK2vz7RjjGNdKdYA	0
Inside a Crypto-Mining Operation - Computerphile	The greed of these people is insufferable. When you confront them with their greed you get a generic "It's the future of currency" excuse.. People are only trading and mining this stuff because it earns them money, like trading stocks. It's all about money, it's all about greed.	0
Inside a Crypto-Mining Operation - Computerphile	Personally, I can't wait until this crypto-mining garbage fad goes the way of the dinosaur.	0
Inside a Crypto-Mining Operation - Computerphile	Why give these racketeers this attention? These people are not our friends nor do they contribute anything net-positive to reality. This is a highly unethical plug for the most ecological and economical con-job in our history at a time where both those "disciplines" should ideally be pointed the exact opposite direction.

Shame on you.. Shame.	0
Inside a Crypto-Mining Operation - Computerphile	A script kiddy with some business sense	0
Inside a Crypto-Mining Operation - Computerphile	I'm literally cringing looking at those rgb cards.. Meanwhile I spend 800 bucks for a 1080	0
Inside a Crypto-Mining Operation - Computerphile	Who benefits from all this energy usage? Not the public surely as these alt coins are not ubiquitous for daily transactions. All of this benefit a small number of individuals gaming the market. 

Privatized gains, socialized losses.	1
Inside a Crypto-Mining Operation - Computerphile	If only they didn't use the same cards as everyday consumers use for gaming and graphics. 😕	0
